current path: ./saved_models/vae-train
Loading data
current path: ./saved_models/vae-train
Loading data
current path: ./saved_models/vae-train
Loading data
get poison test loader
current path: ./saved_models/vae-train
Loading data
get poison test loader
current path: ./saved_models/vae-train
Loading data
get poison test loader
Loaded parameters from saved model: LR is 0.001 and current epoch is 1801
Poisoned following participants: 1
We use following environment for graphs:  ppdl_experiment_cifar_pixel_pattern_12
participant_ids are: range(0, 100)
alpha: 0
Normalize: l_f: 0.3502, l_d: 90.6445, kld_loss: 0.2907, s_l_f: 0.1304, s_l_d: 1.9621, s_kld_loss: 0.1108
Iteration 1, Generator loss: -1.8513, l_f: 0.3502, l_d: 90.6445, recons_loss: -90.6445, kld_loss: 0.2907
Normalize: l_f: 0.3480, l_d: 88.1543, kld_loss: 0.0012, s_l_f: 0.1297, s_l_d: 1.9501, s_kld_loss: 0.0005
Iteration 101, Generator loss: -1.9496, l_f: 0.3480, l_d: 88.1543, recons_loss: -88.1543, kld_loss: 0.0012
Normalize: l_f: 0.3502, l_d: 91.6406, kld_loss: 0.0000, s_l_f: 0.1304, s_l_d: 1.9668, s_kld_loss: 0.0000
Iteration 201, Generator loss: -1.9668, l_f: 0.3502, l_d: 91.6406, recons_loss: -91.6406, kld_loss: 0.0000
Normalize: l_f: 0.3479, l_d: 90.1465, kld_loss: 0.0040, s_l_f: 0.1296, s_l_d: 1.9597, s_kld_loss: 0.0017
Iteration 301, Generator loss: -1.9580, l_f: 0.3479, l_d: 90.1465, recons_loss: -90.1465, kld_loss: 0.0040
Normalize: l_f: 0.3509, l_d: 98.6133, kld_loss: 0.0001, s_l_f: 0.1306, s_l_d: 1.9983, s_kld_loss: 0.0001
Iteration 401, Generator loss: -1.9983, l_f: 0.3509, l_d: 98.6133, recons_loss: -98.6133, kld_loss: 0.0001
Normalize: l_f: 0.3454, l_d: 105.5859, kld_loss: 0.0040, s_l_f: 0.1289, s_l_d: 2.0277, s_kld_loss: 0.0017
Iteration 501, Generator loss: -2.0260, l_f: 0.3454, l_d: 105.5859, recons_loss: -105.5859, kld_loss: 0.0040
Normalize: l_f: 0.3333, l_d: 109.5703, kld_loss: 0.0038, s_l_f: 0.1249, s_l_d: 2.0436, s_kld_loss: 0.0017
Iteration 601, Generator loss: -2.0420, l_f: 0.3333, l_d: 109.5703, recons_loss: -109.5703, kld_loss: 0.0038
Normalize: l_f: 0.3408, l_d: 95.1270, kld_loss: 0.0093, s_l_f: 0.1274, s_l_d: 1.9828, s_kld_loss: 0.0040
Iteration 701, Generator loss: -1.9788, l_f: 0.3408, l_d: 95.1270, recons_loss: -95.1270, kld_loss: 0.0093
Epoch 0, Generator loss: -1.9618, l_f: 0.3461, l_d: 91.1426, recons_loss: -91.1426, kld_loss: 0.0061
Normalize: l_f: 0.3395, l_d: 100.6055, kld_loss: 0.0040, s_l_f: 0.1269, s_l_d: 2.0069, s_kld_loss: 0.0017
Iteration 1, Generator loss: -2.0052, l_f: 0.3395, l_d: 100.6055, recons_loss: -100.6055, kld_loss: 0.0040
Normalize: l_f: 0.3380, l_d: 58.2715, kld_loss: 0.0260, s_l_f: 0.1265, s_l_d: 1.7728, s_kld_loss: 0.0111
Iteration 101, Generator loss: -1.7617, l_f: 0.3380, l_d: 58.2715, recons_loss: -58.2715, kld_loss: 0.0260
