current path: ./saved_models/vae-train-1
Loading data
current path: ./saved_models/vae-train-1
Loading data
get poison test loader
Loaded parameters from saved model: LR is 0.001 and current epoch is 1801
Poisoned following participants: 1
We use following environment for graphs:  ppdl_experiment_cifar_pixel_pattern_12
participant_ids are: range(0, 100)
lamda: 0
Normalize: l_f: 0.3612, l_d: 90.6445, kld_loss: 0.2907, s_l_f: 0.1339, s_l_d: 1.9621, s_kld_loss: 0.1108
Iteration 1, Generator loss: -1.8513, l_f: 0.3612, l_d: 90.6445, recons_loss: -90.6445, kld_loss: 0.2907
Normalize: l_f: 0.3610, l_d: 88.1543, kld_loss: 0.0012, s_l_f: 0.1339, s_l_d: 1.9501, s_kld_loss: 0.0005
Iteration 101, Generator loss: -1.9496, l_f: 0.3610, l_d: 88.1543, recons_loss: -88.1543, kld_loss: 0.0012
Normalize: l_f: 0.3620, l_d: 91.6406, kld_loss: 0.0000, s_l_f: 0.1342, s_l_d: 1.9668, s_kld_loss: 0.0000
Iteration 201, Generator loss: -1.9668, l_f: 0.3620, l_d: 91.6406, recons_loss: -91.6406, kld_loss: 0.0000
Normalize: l_f: 0.3601, l_d: 90.1465, kld_loss: 0.0040, s_l_f: 0.1336, s_l_d: 1.9597, s_kld_loss: 0.0017
Iteration 301, Generator loss: -1.9580, l_f: 0.3601, l_d: 90.1465, recons_loss: -90.1465, kld_loss: 0.0040
Normalize: l_f: 0.3612, l_d: 98.6133, kld_loss: 0.0001, s_l_f: 0.1339, s_l_d: 1.9983, s_kld_loss: 0.0001
Iteration 401, Generator loss: -1.9983, l_f: 0.3612, l_d: 98.6133, recons_loss: -98.6133, kld_loss: 0.0001
Normalize: l_f: 0.3582, l_d: 105.5859, kld_loss: 0.0040, s_l_f: 0.1330, s_l_d: 2.0277, s_kld_loss: 0.0017
Iteration 501, Generator loss: -2.0260, l_f: 0.3582, l_d: 105.5859, recons_loss: -105.5859, kld_loss: 0.0040
Normalize: l_f: 0.3507, l_d: 109.5703, kld_loss: 0.0038, s_l_f: 0.1306, s_l_d: 2.0436, s_kld_loss: 0.0017
Iteration 601, Generator loss: -2.0420, l_f: 0.3507, l_d: 109.5703, recons_loss: -109.5703, kld_loss: 0.0038
Normalize: l_f: 0.3574, l_d: 95.1270, kld_loss: 0.0093, s_l_f: 0.1327, s_l_d: 1.9828, s_kld_loss: 0.0040
